,property_type,place_with_parent_names,lat-lon,area_m2,price_usd
636,house,|México|Chihuahua|Chihuahua|,"28.672886,-106.09304",250,63238.77
637,house,|México|Guanajuato|San Miguel de Allende|,"20.9144491,-100.745235",100,127584.22
638,house,|México|Puebla|Cuautlancingo|,"23.634501,-102.552788",113,57955.13
639,house,|México|Querétaro|Querétaro|,"20.618279,-100.346985",130,99601.06
640,house,|México|San Luis Potosí|San Luis Potosí|,"22.193523,-101.0019",211,165467.83
641,house,|México|Yucatán|Mérida|,"21.030771,-89.646347",200,77994.48
642,apartment,|México|Chiapas|San Cristóbal de las Casas|,"16.747116,-92.651844",84,52686.48
643,house,|México|Estado de México|San Mateo Atenco|San Mateo Atenco|,"19.276849,-99.546473",179,94203.43
644,house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.082655,-86.857162",251,187037.01
645,house,|México|Distrito Federal|Iztapalapa|,"19.3845016369,-99.0904824436",115,81683.41
646,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.446829,-99.159454",65,163064.66
647,house,|México|Yucatán|Mérida|,"20.99947,-89.642815",169,55333.92
648,apartment,|México|Nuevo León|San Pedro Garza García|,,80,300365.64
649,apartment,|México|Distrito Federal|Coyoacán|,,74,54793.94
650,house,|México|Baja California|Tijuana|,,61,38461.13
651,house,|México|Aguascalientes|Aguascalientes|Cañada Honda|,"21.99782,-102.191307",350,193359.39
652,house,|México|Nuevo León|San Nicolás de los Garza|,"25.714615,-100.230576",309,158096.93
653,house,|México|Estado de México|Toluca|Metepec|,"19.286575,-99.597733",200,72865.4
654,house,|México|Durango|Durango|,"24.024288,-104.615791",98,36090.24
655,house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.537234,-99.025536",83,45447.36
656,house,|México|Distrito Federal|Iztapalapa|Colonial Iztapalapa|,"19.343042,-99.054777",275,167543.01
657,house,|México|Querétaro|Querétaro|,"20.594322,-100.365929",286,183875.82
658,house,|México|Chihuahua|Chihuahua|,,251,105397.95
659,house,|México|Jalisco|Puerto Vallarta|,"20.66976,-105.204857",70,35299.94
660,house,|México|Sinaloa|Mazatlán|,"23.256596,-106.415812",190,55320.8
661,house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|San José Ixhuatepec|,"19.524088,-99.096736",75,70757.94
662,house,|México|Sonora|Cajeme|Ciudad Obregón|Otancahui|,"27.492267,-109.958231",236,115910.26
663,apartment,|México|Distrito Federal|Benito Juárez|,"19.394358,-99.177444",195,289775.66
664,house,|México|Nuevo León|Santa Catarina|,"25.7075214,-100.4578949",150,110969.16
665,house,|México|Chihuahua|Chihuahua|,"28.6329957,-106.0691004",274,173906.62
666,apartment,|México|Puebla|San Andrés Cholula|,,212,293358.34
667,house,|México|Tamaulipas|Tampico|,"22.286442,-97.889847",81,44256.64
668,house,|México|Morelos|Cuernavaca|,"18.926889,-99.218126",186,118544.58
669,apartment,|México|Distrito Federal|Tlalpan|,"19.287568,-99.145853",100,159320.71
670,house,|México|Morelos|Temixco|,"18.835637,-99.252857",200,63223.78
671,house,|México|Puebla|San Pedro Cholula|,,243,153317.66
672,apartment,|México|Yucatán|Telchac Puerto|,,200,252895.12
673,house,|México|Nuevo León|Monterrey|,"25.723516,-100.393311",350,252895.12
674,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.750508,-101.181947",90,37934.26
675,apartment,|México|Puebla|Puebla|Guadalupe|,"19.058884,-98.260885",104,92201.34
676,house,|México|Distrito Federal|Azcapotzalco|,"19.477827,-99.216217",229,157690.64
677,apartment,|México|Morelos|Cuernavaca|,"18.963312,-99.214456",76,43729.78
678,apartment,|México|Distrito Federal|Benito Juárez|,"19.393656,-99.132304",60,84845.35
679,apartment,|México|Estado de México|Cuautitlán Izcalli|,"19.607218,-99.194926",100,43202.91
680,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,195,97469.99
681,house,|México|Estado de México|Calimaya|,"19.1617587,-99.6178249",85,57968.87
682,house,|México|Guerrero|,"16.7795417527,-99.798010105",275,316118.9
683,house,|México|Yucatán|Mérida|Cholul|,"21.0411724,-89.5550539",195,91632.19
684,house,|México|Tabasco|Centro|,"18.00557,-92.959735",205,88513.29
685,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.441809,-99.156423",80,65120.49
686,house,|México|Hidalgo|Pachuca de Soto|,"20.124367,-98.735725",150,92223.21
687,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.9673656268,-97.3916879296",120,44783.51
688,apartment,|México|Distrito Federal|Benito Juárez|,"19.391819,-99.188639",84,71653.61
689,apartment,|México|Distrito Federal|Benito Juárez|,"19.375412,-99.144234",60,105372.96
690,house,|México|Morelos|Cuernavaca|,"23.634501,-102.552788",180,63223.78
691,apartment,|México|Distrito Federal|Azcapotzalco|,"19.496076,-99.204251",60,36260.68
692,house,|México|Sinaloa|Culiacán|,"24.8053549677,-107.4623677164",95,44794.13
693,apartment,|México|Distrito Federal|Tlalpan|,"19.309196,-99.219505",110,121863.83
694,house,|México|Morelos|Temixco|Temixco Centro|,"18.842861,-99.225906",120,105372.96
695,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.51485,-103.389699",140,51632.75
696,house,|México|Jalisco|Tlajomulco de Zúñiga|Tlajomulco de Zúñiga|,"20.532264,-103.484418",175,121178.91
697,house,|México|Morelos|Jiutepec|,"18.9289862,-99.1802147",100,47417.83
698,house,|México|Yucatán|Mérida|,"21.0284038368,-89.6530058049",81,39524.23
699,house,|México|San Luis Potosí|San Luis Potosí|,"22.11830417,-101.0321938992",360,245050.24
700,house,|México|Estado de México|Toluca|Metepec|,"19.233201,-99.558519",115,110667.85
