,property_type,place_with_parent_names,lat-lon,area_m2,price_usd
122,house,|México|Chiapas|Tuxtla Gutiérrez|,"16.748295,-93.084284",140,84298.37
123,apartment,|México|Querétaro|Querétaro|,,225,141288.6
124,house,|México|Querétaro|Corregidora|,"20.5198184,-100.3933074",123,85178.23
125,house,|México|Morelos|Jiutepec|,"18.890867,-99.177444",150,86932.69
126,house,|México|Estado de México|Tecámac|Tecamac de Felipe Villanueva|Norchuca|,"19.682383,-98.984458",74,33350.54
127,house,|México|Querétaro|Querétaro|,"20.582091,-100.391196",300,237089.17
128,apartment,|México|Puebla|Puebla|,"19.0733273,-98.2658243",164,184446.42
129,house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.161908,-86.8515279",220,136984.85
130,apartment,|México|Morelos|Cuernavaca|,"18.949474,-99.232381",129,137017.34
131,house,|México|Morelos|Xochitepec|Atlacholoaya|,"18.795519,-99.231445",71,36353.67
132,house,|México|Estado de México|Naucalpan de Juárez|,,300,245050.24
133,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.484016,-100.966568",290,115910.26
134,house,|México|Querétaro|Corregidora|,"20.536322,-100.436844",280,205477.28
135,house,|México|Distrito Federal|Coyoacán|Campestre Churubusco|,"19.343424,-99.135933",182,68492.42
136,house,|México|Colima|Villa de Álvarez|,"19.274727,-103.74485",329,104343.97
137,house,|México|Querétaro|Corregidora|,"20.5412697,-100.3997814",110,59022.85
138,house,|México|Nuevo León|San Nicolás de los Garza|,"25.7296370244,-100.2941036224",310,237145.4
139,house,|México|Puebla|Puebla|,,180,123813.23
140,house,|México|Morelos|Cuautla|,"18.835054,-98.951226",250,68492.42
141,apartment,|México|Distrito Federal|Benito Juárez|,"19.368475,-99.17952",81,149629.61
142,house,|México|Distrito Federal|Xochimilco|Barrio 18|,"19.285891,-99.108269",210,85949.19
143,apartment,|México|Distrito Federal|Benito Juárez|,"19.392302,-99.154385",150,222924.2
144,house,|México|Distrito Federal|Tlalpan|,"19.2925929444,-99.1806221008",96,138598.31
145,house,|México|Querétaro|Corregidora|,"20.5426931,-100.4512523",260,122525.12
146,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.0652948,-96.069905",239,138334.81
147,house,|México|Jalisco|Zapopan|,"20.6129,-103.464564",275,163328.09
148,house,|México|Jalisco|Zapopan|,,209,118572.7
149,house,|México|Puebla|San Pedro Cholula|,,140,100128.05
150,apartment,|México|Puebla|San Andrés Cholula|,"18.983398,-98.288951",192,121207.64
151,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.657836,-101.184317",260,68492.42
152,house,|México|Yucatán|Mérida|,"21.03071,-89.618103",126,77467.49
153,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.710472,-101.222626",190,63223.78
154,house,|México|Distrito Federal|Xochimilco|,,340,258163.77
155,house,|México|Estado de México|Naucalpan de Juárez|,"19.476202,-99.261893",230,289775.66
156,house,|México|Chihuahua|Chihuahua|,"28.663404,-106.133102",182,326733.66
157,house,|México|Jalisco|Zapopan|,"20.726262,-103.468575",206,168596.74
158,house,|México|Nuevo León|Monterrey|,,144,89316.64
159,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.137135,-96.112946",125,60589.45
160,house,|México|Estado de México|Atizapán de Zaragoza|Ciudad Adolfo López Mateos|Lomas de Bellavista|,"19.5224623443,-99.2515909641",210,202842.96
161,apartment,|México|Querétaro|Querétaro|,"20.696185,-100.450005",132,93781.94
162,house,|México|Hidalgo|Pachuca de Soto|,"20.092012,-98.741743",116,84087.62
163,house,|México|Baja California|Mexicali|Mexicali|Hacienda del Real|,"32.601212,-115.474838",102,33982.78
164,house,|México|Chiapas|Tuxtla Gutiérrez|,"16.765467,-93.105786",370,192305.66
165,house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",195,91632.19
166,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,225,147522.15
167,apartment,|México|Puebla|Puebla|Puebla (Heroica Puebla)|San Francisco Mayorazgo|,"18.989942,-98.247486",100,55847.67
168,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.898756,-96.998779",130,68492.42
169,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.119549,-96.107643",232,125393.83
170,house,|México|Distrito Federal|Álvaro Obregón|El Rincón|,"19.353288,-99.244721",90,136405.3
171,house,|México|San Luis Potosí|San Luis Potosí|,"22.1385005078,-100.9965722937",168,104319.23
172,house,|México|Sonora|Hermosillo|,"29.083198,-110.993222",162,57955.13
173,house,|México|Puebla|San Andrés Cholula|,"19.044477,-98.328011",165,111331.75
174,house,|México|Distrito Federal|Gustavo A. Madero|,"19.510133,-99.100025",171,141199.77
175,house,|México|Morelos|Cuautla|,"18.850763,-98.943855",168,67438.69
176,house,|México|Nuevo León|San Nicolás de los Garza|,"25.758372724,-100.2713531256",98,43213.16
177,house,|México|Querétaro|Querétaro|,"20.726007,-100.442642",260,163328.09
178,house,|México|Yucatán|Mérida|Dzitya|,,171,94256.11
179,house,|México|Estado de México|Atizapán de Zaragoza|,"19.5562275,-99.2674713",150,205526.01
180,apartment,|México|Distrito Federal|Álvaro Obregón|San Angel|,"19.345528,-99.189906",60,46943.65
181,house,|México|Morelos|Cuernavaca|,"18.935198,-99.232834",300,289775.66
182,house,|México|Puebla|Puebla|El Carmen|,"19.03362,-98.203294",156,99577.45
183,house,|México|Estado de México|Toluca|Metepec|,"19.229864,-99.597954",256,184446.42
184,house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",330,171271.67
185,house,|México|Morelos|Cuernavaca|,"18.936026,-99.216217",220,205477.28
186,house,|México|Tabasco|Nacajuca|,"18.053865,-92.937809",182,81664.04
187,house,|México|Yucatán|Mérida|,"20.9968241,-89.5846761",164,62711.78
188,apartment,|México|Puebla|San Andrés Cholula|,,212,282821.04
189,house,|México|Yucatán|Mérida|,"20.984423,-89.579231",162,47417.83
190,house,|México|Morelos|Cuautla|,"18.864874,-98.925911",120,51369.32
191,house,|México|Distrito Federal|Iztacalco|Agrícola Oriental|,"19.40112,-99.06707",317,173906.62
192,house,|México|Querétaro|Querétaro|,"20.705742,-100.444016",185,146995.28
193,house,|México|Sinaloa|Culiacán|,"24.813503,-107.371574",220,184446.42
194,apartment,|México|Morelos|Cuernavaca|,"18.935198,-99.232834",91,101182.03
195,house,|México|Yucatán|Mérida|,"21.012869,-89.636932",96,57705.38
196,apartment,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1672703,-86.8414848",120,163366.83
197,house,|México|Morelos|Cuernavaca|,"18.948607,-99.243812",180,184446.42
198,house,|México|Morelos|Cuernavaca|,"18.95299,-99.259592",180,102738.64
199,house,|México|Morelos|Jiutepec|,"18.8816687,-99.1632665",90,68245.17
200,house,|México|Yucatán|Progreso|,,130,110404.35
201,house,|México|Querétaro|Querétaro|,"20.5884382058,-100.4006266594",243,200208.63
202,house,|México|Yucatán|Mérida|,"20.9973786,-89.6296213",170,38470.25
203,apartment,|México|Distrito Federal|Álvaro Obregón|Olivar de los Padres|,"19.33923,-99.218987",83,147522.15
204,house,|México|Chiapas|Tuxtla Gutiérrez|,"16.766967,-93.123362",239,226551.88
205,house,|México|Chihuahua|Chihuahua|,"28.631689,-106.102234",200,115410.76
206,house,|México|Querétaro|Querétaro|,"20.58966,-100.366899",335,250260.79
207,house,|México|Querétaro|Querétaro|La Solana|,,280,260798.09
208,house,|México|Morelos|Temixco|,"18.862602,-99.213448",210,141990.07
209,house,|México|Yucatán|Conkal|Conkal|,,148,53752.95
210,apartment,|México|Querétaro|El Marqués|,"20.59808,-100.337153",90,57428.26
211,apartment,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1789333275,-86.8123199791",75,34254.33
212,apartment,|México|Nuevo León|Monterrey|,"25.6689477,-100.3536491",117,140741.38
213,house,|México|Estado de México|Tultitlán|Tultitlán de Mariano Escobedo|La Sardaña|,,165,57968.87
214,house,|México|Guerrero|,"16.862803,-99.894829",147,92750.2
215,apartment,|México|Sinaloa|Mazatlán|,"23.296583,-106.479973",134,173865.39
216,house,|México|Yucatán|Mérida|,"21.0012449,-89.5674103",133,76150.02
217,house,|México|Morelos|Atlatlahucan|Fraccionamiento Lomas de Cocoyoc|,,130,150192.08
218,house,|México|Estado de México|Ixtapaluca|Ixtapaluca|,,90,38987.99
219,house,|México|Estado de México|Cuautitlán Izcalli|Cuautitlán Izcalli|,"19.666832,-99.236992",69,44783.51
220,house,|México|Nuevo León|San Pedro Garza García|,"25.668703,-100.405373",101,210795.91
221,house,|México|Jalisco|Zapopan|,"20.663444,-103.426533",350,262115.25
222,apartment,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|San Lucas Tepetlacalco|,"19.521015,-99.23091",130,171231.07
223,house,|México|Sinaloa|Mazatlán|,"23.286216,-106.427007",180,86932.69
224,house,|México|Estado de México|Huixquilucan|Huixquilucan de Degollado|Rinconada de la Herradura|,"19.422676,-99.257774",200,70283.76
225,house,|México|Estado de México|Cuautitlán Izcalli|,"19.6378074,-99.1995969",254,171271.67
226,house,|México|Hidalgo|Tulancingo de Bravo|,"20.084376,-98.367993",279,131716.2
227,house,|México|Puebla|San Andrés Cholula|,,300,226551.88
228,house,|México|Morelos|Cuautla|Eusebio Jáuregui|,"18.850763,-98.943855",110,73234.21
229,house,|México|Estado de México|Toluca|,"19.300923,-99.713636",73,43729.78
230,apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.444723,-99.186447",70,41680.96
231,house,|México|Distrito Federal|Benito Juárez|,"19.403597,-99.149771",380,257531.53
232,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,250,125393.83
233,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.66869,-101.205173",298,168069.88
234,apartment,|México|Baja California|Tijuana|Tijuana|Nueva Aurora Sur|,"32.486292,-117.054763",63,36817.31
235,house,|México|Hidalgo|San Agustín Tlaxiaca|,,184,104319.23
236,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,245,150156.47
237,apartment,|México|Jalisco|Guadalajara|,"20.705671,-103.396278",180,237145.4
238,house,|México|Guerrero|Acapulco de Juárez|,"16.8583631,-99.8508616",354,266975.89
239,apartment,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1005941575,-96.1070613563",76,84298.37
240,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,114,65858.1
241,apartment,|México|Estado de México|Naucalpan de Juárez|,"19.479437,-99.236561",75,105397.95
242,house,|México|Morelos|Cuernavaca|La Cañada|,"18.981213,-99.206345",240,183348.96
243,house,|México|Querétaro|Querétaro|,"20.624242,-100.390194",172,86953.31
244,apartment,|México|Estado de México|Naucalpan de Juárez|,"19.508253,-99.254997",113,153686.47
245,house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.533955,-99.228287",155,52159.61
246,apartment,|México|Distrito Federal|Benito Juárez|,"19.394073,-99.153915",82,154987.69
247,house,|México|Morelos|Jiutepec|,"18.878128,-99.187238",110,84298.37
248,apartment,|México|Querétaro|Querétaro|,"20.5862687746,-100.3786790371",63,113302.8
249,house,|México|Morelos|Cuernavaca|,"18.961286,-99.212621",60,34773.07
250,house,|México|Querétaro|Querétaro|,"20.628052,-100.404541",254,147557.13
251,house,|México|Nuevo León|Monterrey|La Joya Privada Residencial|,,365,287209.43
252,house,|México|Campeche|Carmen|,"18.660893,-91.7663706",264,172852.64
253,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.0652948,-96.069905",192,126477.54
254,house,|México|Tamaulipas|Ciudad Madero|,"22.285725,-97.843597",72,35988.5
255,apartment,|México|Distrito Federal|Coyoacán|,"19.305984,-99.127341",70,107322.36
256,house,|México|Distrito Federal|Álvaro Obregón|Los Alpes|,"19.361792,-99.190096",197,49999.47
257,house,|México|San Luis Potosí|Soledad de Graciano Sánchez|,"22.1877626295,-100.962767601",105,50517.24
258,house,|México|Morelos|Jojutla|,,208,239780.35
259,apartment,|México|Querétaro|Querétaro|,"20.726007,-100.442642",105,93856.88
260,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.417636,-99.153292",70,41095.45
261,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.570101,-96.918228",140,42623.36
262,house,|México|Morelos|Yautepec|,"18.885313,-99.062879",97,50052.15
263,apartment,|México|Distrito Federal|Álvaro Obregón|,,250,237089.17
264,apartment,|México|San Luis Potosí|San Luis Potosí|,"22.148722,-101.00119",129,92750.2
265,house,|México|Puebla|Puebla|,"18.985688,-98.230121",73,37670.83
266,apartment,|México|Estado de México|Naucalpan de Juárez|,"19.427053,-99.256293",100,313695.32
267,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.446256,-99.147767",68,49051.11
268,house,|México|Nayarit|Xalisco|,"21.4581695,-104.8877876",220,165172.12
269,apartment,|México|Distrito Federal|Álvaro Obregón|Torres de Potrero|,"19.333974,-99.240363",70,121178.91
270,apartment,|México|Estado de México|Huixquilucan|,"19.379597,-99.293808",155,226551.88
271,house,|México|San Luis Potosí|San Luis Potosí|,"22.139618,-101.032422",354,208111.61
272,house,|México|Estado de México|Atizapán de Zaragoza|,"19.552184,-99.251489",80,127880.63
273,apartment,|México|Querétaro|Corregidora|,"20.5365909,-100.4411011",80,44794.13
274,apartment,|México|Distrito Federal|Cuauhtémoc|,"19.445032,-99.140207",133,59426.13
275,house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.54235,-99.19195",192,125920.69
276,apartment,|México|Distrito Federal|Álvaro Obregón|Alfonso XIII|,"19.377404,-99.193301",80,91411.04
277,apartment,|México|Guerrero|Acapulco de Juárez|Acapulco de Juárez|Lomas de Costa Azul|,"16.858816,-99.857628",185,157917.19
278,house,|México|Sinaloa|Mazatlán|,"23.231522,-106.382439",211,81137.18
279,house,|México|Yucatán|Mérida|,"21.006756,-89.570984",250,105397.95
280,apartment,|México|Guerrero|Acapulco de Juárez|,"16.850374,-99.850166",145,81664.04
281,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,180,105397.95
282,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.141083,-94.458733",180,110667.85
283,house,|México|Puebla|Puebla|,"18.989918,-98.2295",299,231820.52
284,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.540674,-103.393252",140,47417.83
285,house,|México|Yucatán|Mérida|Cholul|,"21.039522,-89.563911",240,138058.14
286,apartment,|México|Distrito Federal|Coyoacán|,"19.336697,-99.152534",102,187081.37
287,house,|México|Tabasco|Centro|,,150,97469.99
288,house,|México|Querétaro|Querétaro|,"20.697427,-100.444385",187,134350.53
289,apartment,|México|Distrito Federal|Miguel Hidalgo|Santo Tomas|,"19.451872,-99.173522",70,66911.83
290,house,|México|Estado de México|Toluca|Metepec|,"19.262129,-99.602481",239,132769.93
291,apartment,|México|Distrito Federal|Tlalpan|,"19.2790911,-99.2114234",72,40645.77
292,house,|México|Jalisco|Puerto Vallarta|,"20.647398,-105.209682",84,65858.1
293,house,|México|Tabasco|,"23.634501,-102.552788",151,237145.4
294,house,|México|Querétaro|Querétaro|,"20.5887932,-100.3898881",177,115937.75
295,apartment,|México|Puebla|San Andrés Cholula|,"19.028651,-98.258029",116,171231.07
296,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,150,89040.15
297,house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,289,129112.49
298,apartment,|México|Distrito Federal|Azcapotzalco|San Juan Tlihuaca|,"19.493713,-99.204941",60,38812.39
299,house,|México|Yucatán|Mérida|,,136,72302.99
300,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.11819,-96.107956",181,129112.49
301,house,|México|Nuevo León|Monterrey|,,220,263432.41
302,house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.147928788,-94.4772926867",175,115937.75
303,house,|México|Estado de México|Naucalpan de Juárez|,"19.4907003,-99.2553635",370,316193.86
304,apartment,|México|Nuevo León|Monterrey|,"25.672309,-100.374119",73,106110.57
305,house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.542509,-99.218987",220,150156.47
306,house,|México|Chiapas|Jiquipilas|Michoacán|,"19.671952,-101.175638",235,171231.07
307,house,|México|Colima|Villa de Álvarez|Ciudad de Villa de Álvarez|Carlos de La Madrid|,"19.297108,-103.737602",176,62170.05
308,house,|México|Baja California|Tijuana|Tijuana|Las 2 Palmas|,"32.421957,-117.033513",170,95499.52
309,house,|México|Morelos|Temixco|,"18.855343,-99.241142",73,36783.88
